route_id,route_short_name,route_long_name,route_desc,route_type,route_url
135-251,135,,,3,
135-256,135,,,3,
136-251,136,,,3,
136-256,136,,,3,
137-251,137,,,3,
137-256,137,,,3,
140-251,140,,,3,
144-251,144,,,3,
144-256,144,,,3,
146-251,146,,,3,
146-256,146,,,3,
147-251,147,,,3,
147-256,147,,,3,
148-251,148,,,3,
148-256,148,,,3,
149-251,149,,,3,
149-256,149,,,3,
150-251,150,,,3,
150-256,150,,,3,
151-251,151,,,3,
151-256,151,,,3,
152-251,152,,,3,
152-256,152,,,3,
153-251,153,,,3,
153-256,153,,,3,
154-251,154,,,3,
154-256,154,,,3,
155-251,155,,,3,
155-256,155,,,3,
156-251,156,,,3,
156-256,156,,,3,
157-251,157,,,3,
157-256,157,,,3,
159-251,159,,,3,
159-256,159,,,3,
161-251,161,,,3,
161-256,161,,,3,
162-251,162,,,3,
162-256,162,,,3,
164-251,164,,,3,
164-256,164,,,3,
165-251,165,,,3,
165-256,165,,,3,
166-256,166,,,3,
167-251,167,,,3,
167-256,167,,,3,
168-251,168,,,3,
168-256,168,,,3,
170-251,170,,,3,
170-256,170,,,3,
171-251,171,,,3,
171-256,171,,,3,
172-251,172,,,3,
172-256,172,,,3,
173-251,173,,,3,
173-256,173,,,3,
174-251,174,,,3,
174-256,174,,,3,
175-251,175,,,3,
175-256,175,,,3,
176-251,176,,,3,
176-256,176,,,3,
177-251,177,,,3,
177-256,177,,,3,
178-251,178,,,3,
178-256,178,,,3,
180-251,180,,,3,
180-256,180,,,3,
181-251,181,,,3,
182-251,182,,,3,
182-256,182,,,3,
186-251,186,,,3,
186-256,186,,,3,
189-251,189,,,3,
189-256,189,,,3,
192-251,192,,,3,
192-256,192,,,3,
193-251,193,,,3,
193-256,193,,,3,
194-251,194,,,3,
194-256,194,,,3,
199-251,199,,,3,
199-256,199,,,3,
221-251,221,,,3,
221-256,221,,,3,
222-251,222,,,3,
222-256,222,,,3,
224-256,224,,,3,
228-251,228,,,3,
228-256,228,,,3,
231-256,231,,,3,
232-256,232,,,3,
233-256,233,,,3,
234-256,234,,,3,
235-256,235,,,3,
237-256,237,,,3,
252-256,252,,,3,
256-256,256,,,3,
261-251,261,,,3,
261-256,261,,,3,
262-251,262,,,3,
262-256,262,,,3,
263-251,263,,,3,
263-256,263,,,3,
264-256,264,,,3,
265-256,265,,,3,
267-256,267,,,3,
268-256,268,,,3,
269-256,269,,,3,
270-256,270,,,3,
271-256,271,,,3,
272-256,272,,,3,
273-256,273,,,3,
277-256,277,,,3,
282-256,282,,,3,
283-251,283,,,3,
283-256,283,,,3,
290-256,290,,,3,
293-256,293,,,3,
298-256,298,,,3,
401-216,401,,,3,
402-216,402,,,3,
403-216,403,,,3,
404-216,404,,,3,
405-216,405,,,3,
406-216,406,,,3,
602-251,602,,,3,
602-256,602,,,3,
611-251,611,,,3,
611-256,611,,,3,
612-251,612,,,3,
612-256,612,,,3,
613-251,613,,,3,
613-256,613,,,3,
618-251,618,,,3,
618-256,618,,,3,
619-251,619,,,3,
619-256,619,,,3,
622-251,622,,,3,
622-256,622,,,3,
630-256,630,,,3,
632-251,632,,,3,
632-256,632,,,3,
633-251,633,,,3,
633-256,633,,,3,
640-251,640,,,3,
640-256,640,,,3,
641-251,641,,,3,
641-256,641,,,3,
644-251,644,,,3,
644-256,644,,,3,
648-251,648,,,3,
648-256,648,,,3,
649-251,649,,,3,
649-256,649,,,3,
660-256,660,,,3,
661-251,661,,,3,
661-256,661,,,3,
665-251,665,,,3,
665-256,665,,,3,
669-251,669,,,3,
669-256,669,,,3,
670-251,670,,,3,
670-256,670,,,3,
674-251,674,,,3,
674-256,674,,,3,
678-251,678,,,3,
678-256,678,,,3,
681-251,681,,,3,
681-256,681,,,3,
691-251,691,,,3,
691-256,691,,,3,
698-251,698,,,3,
698-256,698,,,3,
750-251,OTrn,,,2,
750-256,OTrn,,,2,
